recording_id,voice_type_id
1,4
2,2
3,1
4,5
5,6
6,4
7,2
8,5
9,6
10,2
11,5
12,2
13,5
14,6
15,2
16,5
17,2
18,5
19,2
20,5
21,4
22,2
23,5
24,6
25,2
26,5
27,4
28,2
29,1
30,5
31,6
32,4
33,2
34,1
35,5
36,6
37,4
38,2
39,5
40,6
41,3
42,4
43,2
44,5
45,6
46,3
47,4
48,2
49,5
50,6
51,4
52,2
53,5
54,6
55,5
56,3
57,5
58,3
59,4
60,5
61,6
62,3
63,5
64,6
65,3
66,4
67,2
68,5
69,4
70,2
71,5
72,2
73,5
74,6
75,4
76,2
77,5
78,6
79,1
79,2
79,3
79,4
79,5
79,6
80,1
80,2
80,3
80,4
80,5
80,6
81,1
81,2
81,3
81,4
81,5
81,6
82,4
83,2
84,1
85,5
86,6
87,1
87,2
87,3
87,4
87,5
87,6
88,1
88,2
88,3
88,4
88,5
88,6
89,1
89,2
89,3
89,4
89,5
89,6
90,1
90,2
90,3
90,4
90,5
90,6
91,1
91,2
91,3
91,4
91,5
91,6
92,1
92,2
92,3
92,4
92,5
92,6
93,6
93,5
93,3
94,6
94,5
94,3
95,6
95,5
95,3
96,6
96,5
96,3
97,6
97,5
97,3
98,6
98,5
98,3
99,6
99,5
99,3
100,6
100,5
100,3
101,6
101,5
101,3
102,6
102,5
102,3
103,6
103,5
103,3
104,6
104,5
104,3
105,6
105,5
105,3
106,6
106,5
106,3
107,6
107,5
107,3
108,6
108,5
108,3
109,6
109,5
109,3
110,6
110,5
110,3
111,6
111,5
111,3
112,6
112,5
112,3
113,6
113,5
113,3
114,6
114,5
114,3
115,6
115,5
115,3
116,6
116,5
116,3
117,1
117,2
117,3
117,4
117,5
117,6
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,1
143,2
144,1
144,2
145,1
145,2
146,1
146,2
147,1
147,2
148,1
148,2
149,1
149,2
150,1
150,2
151,1
151,2
152,1
152,2
153,1
153,2
154,1
154,2
155,1
155,2
156,1
156,2
157,1
157,2
158,1
158,2
159,1
159,2
160,1
160,2
161,1
161,2
162,1
162,2
163,1
163,2
164,1
164,2
165,1
165,2
166,1
166,2
167,1
167,2
168,6
168,5
168,3