sheet_id,voice_type_id
1,1
1,2
1,4
2,5
3,3
3,6
4,1
4,2
4,4
5,5
6,3
6,6
7,1
7,2
7,4
8,5
9,3
9,6
10,1
10,2
10,4
11,5
12,3
12,6
13,1
13,2
13,4
14,5
15,3
15,6
16,1
16,2
16,4
17,5
18,3
18,6
19,1
19,2
19,4
20,5
21,3
21,6
22,1
22,2
22,4
23,3
23,5
23,6
24,1
24,2
24,4
25,3
25,5
25,6
26,1
26,2
26,4
27,3
27,5
27,6
28,1
28,2
28,4
29,3
29,5
29,6
30,1
30,2
30,4
31,3
31,5
31,6
32,1
32,2
32,4
33,3
33,5
33,6
34,3
34,5
34,6
35,1
35,2
35,4
36,1
36,2
36,4
37,3
37,5
37,6
38,1
38,2
38,4
39,3
39,5
39,6
40,1
40,2
40,4
41,3
41,5
41,6
42,1
42,2
42,4
43,3
43,5
43,6
44,1
44,2
44,4
45,3
45,5
45,6
46,1
46,2
46,4
47,3
47,5
47,6
48,1
48,2
48,4
49,3
49,5
49,6
50,1
50,2
50,4
51,3
51,5
51,6
52,6
52,5
52,3
53,6
53,5
53,3
54,6
54,5
54,3
55,6
55,5
55,3
56,6
56,5
56,3
57,6
57,5
57,3
58,6
58,5
58,3
59,6
59,5
59,3
60,6
60,5
60,3
61,6
61,5
61,3
62,6
62,5
62,3
63,6
63,5
63,3
64,6
64,5
64,3
65,6
65,5
65,3
66,6
66,5
66,3
67,6
67,5
67,3
68,6
68,5
68,3
69,6
69,5
69,3
70,6
70,5
70,3
71,6
71,5
71,3
72,6
72,5
72,3
73,6
73,5
73,3
74,6
74,5
74,3
75,6
75,5
75,3
76,6
76,5
76,3
77,6
77,5
77,3
78,1
78,2
78,4
78,1
78,2